nombre_mots,longueur_moyenne,longueur_minimale,longueur_maximale,distribution_longueur,complexité_shannon,redondance,proportion_0,proportion_1,entropie_des_caracteres,distance_de_hamming_moyenne,est_code
6,4.333333333333333,1,7,"[0, 1, 0, 0, 3, 0, 1, 1]",0.9957274520849255,3,0.46153846153846156,0.5384615384615384,0.9957274520849255,3.8,True
2,6.0,6,6,"[0, 0, 0, 0, 0, 0, 2, 0]",0.9182958340544896,0,0.6666666666666666,0.3333333333333333,0.9182958340544896,2.0,True
1,4.0,4,4,"[0, 0, 0, 0, 1, 0, 0, 0]",0.8112781244591328,0,0.75,0.25,0.8112781244591328,0.0,True
4,2.25,1,4,"[0, 1, 2, 0, 1, 0, 0, 0]",0.9910760598382222,2,0.5555555555555556,0.4444444444444444,0.9910760598382222,2.3333333333333335,False
9,4.111111111111111,1,7,"[0, 1, 3, 0, 0, 2, 1, 2]",0.9994730201859836,8,0.5135135135135135,0.4864864864864865,0.9994730201859836,4.055555555555555,False
10,3.9,1,7,"[0, 1, 1, 3, 2, 0, 2, 1]",0.9957274520849255,8,0.46153846153846156,0.5384615384615384,0.9957274520849255,3.4444444444444446,False
7,5.285714285714286,1,7,"[0, 1, 0, 1, 0, 0, 2, 3]",0.9740248644357521,5,0.5945945945945946,0.40540540540540543,0.9740248644357521,4.523809523809524,False
2,4.0,2,6,"[0, 0, 1, 0, 0, 0, 1, 0]",0.8112781244591328,1,0.25,0.75,0.8112781244591328,4.0,True
5,4.6,2,7,"[0, 0, 1, 0, 1, 2, 0, 1]",0.9986359641585718,1,0.5217391304347826,0.4782608695652174,0.9986359641585718,3.8,True
1,1.0,1,1,"[0, 1, 0, 0, 0, 0, 0, 0]",-0.0,0,1.0,0.0,-0.0,0.0,True
1,7.0,7,7,"[0, 0, 0, 0, 0, 0, 0, 1]",0.863120568566631,0,0.2857142857142857,0.7142857142857143,0.863120568566631,0.0,True
6,3.8333333333333335,1,7,"[0, 1, 1, 1, 1, 0, 1, 1]",0.9321115676166747,5,0.34782608695652173,0.6521739130434783,0.9321115676166747,4.2,False
7,3.7142857142857144,1,6,"[0, 1, 2, 0, 0, 3, 1, 0]",0.9957274520849255,6,0.46153846153846156,0.5384615384615384,0.9957274520849255,3.7142857142857144,False
10,4.7,1,7,"[0, 1, 1, 2, 0, 2, 0, 4]",0.9996734260048917,8,0.48936170212765956,0.5106382978723404,0.9996734260048917,4.311111111111111,False
1,3.0,3,3,"[0, 0, 0, 1, 0, 0, 0, 0]",0.9182958340544896,0,0.6666666666666666,0.3333333333333333,0.9182958340544896,0.0,True
8,3.875,2,6,"[0, 0, 2, 2, 0, 3, 1, 0]",0.9932338197397066,5,0.5483870967741935,0.45161290322580644,0.9932338197397066,3.2142857142857144,False
6,4.833333333333333,2,7,"[0, 0, 1, 0, 0, 4, 0, 1]",0.9991421039919088,1,0.5172413793103449,0.4827586206896552,0.9991421039919088,3.6,True
8,3.625,1,7,"[0, 3, 1, 0, 1, 0, 1, 2]",0.9784493292686189,5,0.5862068965517241,0.41379310344827586,0.9784493292686189,4.107142857142857,False
4,4.25,2,6,"[0, 0, 1, 1, 0, 0, 2, 0]",0.9774178175281716,1,0.4117647058823529,0.5882352941176471,0.9774178175281716,4.0,True
6,5.166666666666667,3,7,"[0, 0, 0, 1, 2, 0, 1, 2]",0.9629004147713269,1,0.3870967741935484,0.6129032258064516,0.9629004147713269,4.2,True
7,4.142857142857143,1,7,"[0, 1, 2, 0, 0, 1, 2, 1]",0.9922666387194963,6,0.4482758620689655,0.5517241379310345,0.9922666387194963,4.142857142857143,False
6,3.5,2,5,"[0, 0, 2, 1, 1, 2, 0, 0]",0.998363672593813,3,0.5238095238095238,0.47619047619047616,0.998363672593813,3.2666666666666666,False
8,3.875,1,6,"[0, 1, 1, 1, 1, 3, 1, 0]",0.9629004147713269,6,0.3870967741935484,0.6129032258064516,0.9629004147713269,3.4285714285714284,False
6,3.6666666666666665,1,7,"[0, 2, 1, 0, 1, 0, 0, 2]",0.9456603046006401,4,0.36363636363636365,0.6363636363636364,0.9456603046006401,4.4,False
7,4.285714285714286,1,7,"[0, 1, 1, 1, 1, 0, 1, 2]",0.9871377743721863,5,0.5666666666666667,0.43333333333333335,0.9871377743721863,4.428571428571429,False
4,2.5,1,6,"[0, 2, 1, 0, 0, 0, 1, 0]",0.9709505944546686,2,0.6,0.4,0.9709505944546686,3.3333333333333335,False
1,4.0,4,4,"[0, 0, 0, 0, 1, 0, 0, 0]",0.8112781244591328,0,0.25,0.75,0.8112781244591328,0.0,True
1,3.0,3,3,"[0, 0, 0, 1, 0, 0, 0, 0]",0.9182958340544896,0,0.6666666666666666,0.3333333333333333,0.9182958340544896,0.0,True
4,4.25,2,6,"[0, 0, 1, 1, 0, 0, 2, 0]",0.9975025463691153,0,0.47058823529411764,0.5294117647058824,0.9975025463691153,4.166666666666667,True
5,3.6,1,7,"[0, 2, 0, 0, 1, 1, 0, 1]",0.964078764808229,3,0.6111111111111112,0.3888888888888889,0.964078764808229,4.3,False
2,5.5,4,7,"[0, 0, 0, 0, 1, 0, 0, 1]",0.9940302114769565,0,0.45454545454545453,0.5454545454545454,0.9940302114769565,6.0,True
10,3.7,1,7,"[0, 1, 3, 2, 0, 1, 2, 1]",0.9994730201859836,8,0.4864864864864865,0.5135135135135135,0.9994730201859836,3.8666666666666667,False
7,4.142857142857143,2,7,"[0, 0, 2, 0, 2, 2, 0, 1]",0.9922666387194963,4,0.4482758620689655,0.5517241379310345,0.9922666387194963,3.5238095238095237,False
7,4.142857142857143,1,7,"[0, 2, 0, 1, 1, 0, 1, 2]",0.9784493292686189,4,0.5862068965517241,0.41379310344827586,0.9784493292686189,4.523809523809524,False
1,4.0,4,4,"[0, 0, 0, 0, 1, 0, 0, 0]",1.0,0,0.5,0.5,1.0,0.0,True
10,5.6,3,7,"[0, 0, 0, 2, 0, 2, 2, 4]",1.0,3,0.5,0.5,1.0,4.0,False
5,2.8,1,4,"[0, 1, 1, 1, 2, 0, 0, 0]",0.9402859586706311,3,0.6428571428571429,0.35714285714285715,0.9402859586706311,2.7,False
1,6.0,6,6,"[0, 0, 0, 0, 0, 0, 1, 0]",0.9182958340544896,0,0.6666666666666666,0.3333333333333333,0.9182958340544896,0.0,True
4,5.75,5,7,"[0, 0, 0, 0, 0, 2, 1, 1]",0.9986359641585718,0,0.4782608695652174,0.5217391304347826,0.9986359641585718,4.0,True
10,4.5,1,7,"[0, 1, 1, 2, 1, 0, 3, 2]",0.9824740868386409,8,0.5777777777777777,0.4222222222222222,0.9824740868386409,4.0,False
3,3.3333333333333335,1,7,"[0, 1, 1, 0, 0, 0, 0, 1]",0.8812908992306927,2,0.3,0.7,0.8812908992306927,5.0,False
5,3.2,2,6,"[0, 0, 3, 0, 1, 0, 1, 0]",1.0,2,0.5,0.5,1.0,3.4,False
2,2.5,2,3,"[0, 0, 1, 1, 0, 0, 0, 0]",0.9709505944546686,0,0.6,0.4,0.9709505944546686,3.0,True
6,4.166666666666667,1,6,"[0, 1, 0, 1, 1, 1, 2, 0]",0.9895875212220556,4,0.44,0.56,0.9895875212220556,4.0,False
9,4.222222222222222,1,6,"[0, 1, 2, 0, 1, 1, 4, 0]",0.9919924034538556,7,0.5526315789473685,0.4473684210526316,0.9919924034538556,3.5,False
9,4.111111111111111,2,7,"[0, 0, 3, 1, 1, 1, 2, 1]",0.9952525494396791,5,0.4594594594594595,0.5405405405405406,0.9952525494396791,3.888888888888889,False
6,4.5,1,7,"[0, 1, 1, 0, 0, 2, 0, 2]",0.9509560484549725,3,0.37037037037037035,0.6296296296296297,0.9509560484549725,4.6,False
4,5.0,3,7,"[0, 0, 0, 1, 0, 2, 0, 1]",0.934068055375491,0,0.65,0.35,0.934068055375491,4.5,True
8,4.125,1,7,"[0, 2, 0, 1, 2, 0, 1, 2]",0.9940302114769565,6,0.5454545454545454,0.45454545454545453,0.9940302114769565,4.357142857142857,False
10,3.9,1,7,"[0, 3, 1, 1, 0, 2, 0, 3]",0.999525689293649,7,0.5128205128205128,0.48717948717948717,0.999525689293649,4.4222222222222225,False
6,4.666666666666667,3,7,"[0, 0, 0, 2, 1, 1, 1, 1]",1.0,2,0.5,0.5,1.0,3.8,True
8,3.125,1,7,"[0, 1, 2, 3, 1, 0, 0, 1]",0.9895875212220556,6,0.44,0.56,0.9895875212220556,3.0714285714285716,False
3,4.333333333333333,1,6,"[0, 1, 0, 0, 0, 0, 2, 0]",0.9957274520849255,2,0.46153846153846156,0.5384615384615384,0.9957274520849255,5.333333333333333,True
8,4.0,1,6,"[0, 1, 0, 2, 2, 1, 2, 0]",0.9971803988942642,5,0.46875,0.53125,0.9971803988942642,3.6785714285714284,False
5,3.4,1,7,"[0, 3, 0, 0, 0, 0, 0, 2]",0.9774178175281716,2,0.4117647058823529,0.5882352941176471,0.9774178175281716,4.4,False
5,4.4,1,7,"[0, 1, 0, 0, 1, 2, 0, 1]",0.9456603046006401,4,0.36363636363636365,0.6363636363636364,0.9456603046006401,4.1,False
6,4.166666666666667,2,7,"[0, 0, 1, 2, 1, 0, 1, 1]",0.9426831892554922,3,0.64,0.36,0.9426831892554922,4.0,False
1,2.0,2,2,"[0, 0, 1, 0, 0, 0, 0, 0]",1.0,0,0.5,0.5,1.0,0.0,True
10,3.8,1,7,"[0, 2, 3, 0, 0, 2, 1, 2]",0.9494520153879484,8,0.631578947368421,0.3684210526315789,0.9494520153879484,3.933333333333333,False
9,3.0,1,5,"[0, 2, 3, 0, 1, 3, 0, 0]",0.9990102708804813,7,0.5185185185185185,0.48148148148148145,0.9990102708804813,2.9444444444444446,False
2,3.0,2,4,"[0, 0, 1, 0, 1, 0, 0, 0]",0.9182958340544896,0,0.6666666666666666,0.3333333333333333,0.9182958340544896,4.0,True
6,3.6666666666666665,1,7,"[0, 1, 1, 1, 1, 1, 0, 1]",0.9456603046006401,5,0.6363636363636364,0.36363636363636365,0.9456603046006401,3.6666666666666665,False
4,3.25,1,6,"[0, 1, 1, 0, 1, 0, 1, 0]",0.8904916402194913,2,0.3076923076923077,0.6923076923076923,0.8904916402194913,3.6666666666666665,False
5,3.6,1,6,"[0, 1, 1, 0, 1, 1, 1, 0]",0.9910760598382222,3,0.4444444444444444,0.5555555555555556,0.9910760598382222,4.0,False
1,5.0,5,5,"[0, 0, 0, 0, 0, 1, 0, 0]",0.9709505944546686,0,0.6,0.4,0.9709505944546686,0.0,True
2,5.5,5,6,"[0, 0, 0, 0, 0, 1, 1, 0]",0.9940302114769565,1,0.5454545454545454,0.45454545454545453,0.9940302114769565,1.0,True
5,2.2,1,5,"[0, 2, 2, 0, 0, 1, 0, 0]",0.9940302114769565,3,0.45454545454545453,0.5454545454545454,0.9940302114769565,2.6,False
5,4.8,3,6,"[0, 0, 0, 1, 0, 3, 1, 0]",0.9949848281859701,4,0.5416666666666666,0.4583333333333333,0.9949848281859701,2.4,True
4,2.5,1,5,"[0, 1, 2, 0, 0, 1, 0, 0]",0.9709505944546686,2,0.4,0.6,0.9709505944546686,3.0,False
8,3.5,1,7,"[0, 2, 1, 1, 1, 2, 0, 1]",0.9852281360342515,6,0.42857142857142855,0.5714285714285714,0.9852281360342515,3.857142857142857,False
1,7.0,7,7,"[0, 0, 0, 0, 0, 0, 0, 1]",0.9852281360342515,0,0.5714285714285714,0.42857142857142855,0.9852281360342515,0.0,True
2,5.0,3,7,"[0, 0, 0, 1, 0, 0, 0, 1]",0.7219280948873623,0,0.2,0.8,0.7219280948873623,5.0,True
9,3.4444444444444446,1,6,"[0, 2, 1, 2, 0, 3, 1, 0]",0.9811522341999133,7,0.41935483870967744,0.5806451612903226,0.9811522341999133,3.5277777777777777,False
2,1.5,1,2,"[0, 1, 1, 0, 0, 0, 0, 0]",0.9182958340544896,1,0.3333333333333333,0.6666666666666666,0.9182958340544896,1.0,True
1,6.0,6,6,"[0, 0, 0, 0, 0, 0, 1, 0]",0.9182958340544896,0,0.3333333333333333,0.6666666666666666,0.9182958340544896,0.0,True
6,4.0,1,7,"[0, 2, 1, 0, 0, 0, 1, 2]",0.9949848281859701,4,0.4583333333333333,0.5416666666666666,0.9949848281859701,4.8,False
4,4.25,2,7,"[0, 0, 2, 0, 0, 0, 1, 1]",0.9975025463691153,1,0.47058823529411764,0.5294117647058824,0.9975025463691153,4.5,True
7,2.4285714285714284,1,5,"[0, 3, 0, 3, 0, 1, 0, 0]",0.9774178175281716,4,0.4117647058823529,0.5882352941176471,0.9774178175281716,2.5714285714285716,False
2,4.0,1,7,"[0, 1, 0, 0, 0, 0, 0, 1]",0.8112781244591328,1,0.75,0.25,0.8112781244591328,6.0,True
1,1.0,1,1,"[0, 1, 0, 0, 0, 0, 0, 0]",-0.0,0,0.0,1.0,-0.0,0.0,True
8,4.375,1,7,"[0, 1, 1, 1, 1, 0, 3, 1]",0.9946937953613058,6,0.45714285714285713,0.5428571428571428,0.9946937953613058,4.321428571428571,False
8,3.75,2,7,"[0, 0, 2, 3, 1, 0, 1, 1]",0.9967916319816366,5,0.4666666666666667,0.5333333333333333,0.9967916319816366,3.607142857142857,False
4,5.25,4,6,"[0, 0, 0, 0, 1, 1, 2, 0]",0.9852281360342515,1,0.42857142857142855,0.5714285714285714,0.9852281360342515,2.3333333333333335,True
9,3.6666666666666665,1,7,"[0, 1, 2, 3, 0, 0, 2, 1]",0.9940302114769565,7,0.45454545454545453,0.5454545454545454,0.9940302114769565,3.75,False
9,3.888888888888889,1,7,"[0, 1, 2, 2, 0, 1, 2, 1]",0.9994110647387552,7,0.4857142857142857,0.5142857142857142,0.9994110647387552,4.0,False
4,5.25,3,7,"[0, 0, 0, 1, 1, 0, 0, 2]",0.9587118829771318,2,0.38095238095238093,0.6190476190476191,0.9587118829771318,4.0,True
5,4.8,2,7,"[0, 0, 1, 0, 1, 1, 1, 1]",0.954434002924965,3,0.625,0.375,0.954434002924965,4.4,True
4,3.25,1,5,"[0, 1, 0, 1, 1, 1, 0, 0]",0.7793498372920851,3,0.23076923076923078,0.7692307692307693,0.7793498372920851,2.1666666666666665,False
6,5.0,3,7,"[0, 0, 0, 2, 1, 0, 1, 2]",1.0,2,0.5,0.5,1.0,4.333333333333333,True
10,4.4,1,7,"[0, 1, 1, 2, 1, 2, 0, 3]",0.9456603046006401,8,0.36363636363636365,0.6363636363636364,0.9456603046006401,4.044444444444444,False
7,4.142857142857143,1,6,"[0, 1, 1, 0, 2, 0, 3, 0]",0.9293636260137187,5,0.3448275862068966,0.6551724137931034,0.9293636260137187,3.761904761904762,False
2,6.0,6,6,"[0, 0, 0, 0, 0, 0, 2, 0]",0.9182958340544896,0,0.6666666666666666,0.3333333333333333,0.9182958340544896,2.0,True
10,3.7,1,7,"[0, 2, 1, 2, 1, 2, 1, 1]",0.9352691398683566,8,0.35135135135135137,0.6486486486486487,0.9352691398683566,3.7111111111111112,False
2,2.5,2,3,"[0, 0, 1, 1, 0, 0, 0, 0]",0.9709505944546686,1,0.6,0.4,0.9709505944546686,1.0,True
6,4.166666666666667,1,7,"[0, 1, 0, 1, 1, 2, 0, 1]",0.9709505944546686,4,0.6,0.4,0.9709505944546686,3.8,False
8,4.5,2,7,"[0, 0, 1, 2, 2, 0, 1, 2]",0.9798687566511528,4,0.4166666666666667,0.5833333333333334,0.9798687566511528,4.178571428571429,False
1,1.0,1,1,"[0, 1, 0, 0, 0, 0, 0, 0]",-0.0,0,1.0,0.0,-0.0,0.0,True
6,3.3333333333333335,2,5,"[0, 0, 3, 0, 1, 2, 0, 0]",0.9709505944546686,3,0.4,0.6,0.9709505944546686,2.933333333333333,False
10,4.0,1,7,"[0, 1, 0, 2, 4, 2, 0, 1]",0.9709505944546686,7,0.4,0.6,0.9709505944546686,3.1777777777777776,False
1,4.0,4,4,"[0, 0, 0, 0, 1, 0, 0, 0]",0.8112781244591328,0,0.75,0.25,0.8112781244591328,0.0,True
3,6.333333333333333,6,7,"[0, 0, 0, 0, 0, 0, 2, 1]",0.9980008838722996,0,0.5263157894736842,0.47368421052631576,0.9980008838722996,1.3333333333333333,True
2,3.0,1,5,"[0, 1, 0, 0, 0, 1, 0, 0]",0.9182958340544896,1,0.3333333333333333,0.6666666666666666,0.9182958340544896,4.0,True
5,3.2,1,6,"[0, 1, 1, 1, 1, 0, 1, 0]",0.9886994082884974,4,0.4375,0.5625,0.9886994082884974,3.3,False
3,3.6666666666666665,2,6,"[0, 0, 1, 1, 0, 0, 1, 0]",0.6840384356390417,0,0.18181818181818182,0.8181818181818182,0.6840384356390417,3.6666666666666665,True
6,4.5,3,7,"[0, 0, 0, 2, 1, 2, 0, 1]",0.9182958340544896,1,0.3333333333333333,0.6666666666666666,0.9182958340544896,3.533333333333333,True
2,4.5,2,7,"[0, 0, 1, 0, 0, 0, 0, 1]",0.9910760598382222,0,0.4444444444444444,0.5555555555555556,0.9910760598382222,6.0,True
3,3.3333333333333335,1,6,"[0, 1, 0, 1, 0, 0, 1, 0]",1.0,1,0.5,0.5,1.0,4.333333333333333,True
3,1.6666666666666667,1,2,"[0, 1, 2, 0, 0, 0, 0, 0]",0.9709505944546686,1,0.4,0.6,0.9709505944546686,1.6666666666666667,False
6,5.333333333333333,3,7,"[0, 0, 0, 1, 1, 1, 1, 2]",0.9886994082884974,3,0.4375,0.5625,0.9886994082884974,3.8666666666666667,True
1,3.0,3,3,"[0, 0, 0, 1, 0, 0, 0, 0]",0.9182958340544896,0,0.6666666666666666,0.3333333333333333,0.9182958340544896,0.0,True
7,3.857142857142857,1,7,"[0, 2, 0, 1, 1, 1, 1, 1]",0.9910760598382222,5,0.5555555555555556,0.4444444444444444,0.9910760598382222,4.285714285714286,False
8,4.0,2,6,"[0, 0, 2, 1, 2, 1, 2, 0]",1.0,5,0.5,0.5,1.0,3.5714285714285716,False
7,3.857142857142857,2,7,"[0, 0, 2, 1, 2, 1, 0, 1]",0.9751190649408661,2,0.4074074074074074,0.5925925925925926,0.9751190649408661,3.3333333333333335,True
2,4.5,4,5,"[0, 0, 0, 0, 1, 1, 0, 0]",0.9910760598382222,0,0.5555555555555556,0.4444444444444444,0.9910760598382222,4.0,True
9,4.222222222222222,1,7,"[0, 1, 0, 3, 1, 1, 2, 1]",0.9677884628267678,6,0.39473684210526316,0.6052631578947368,0.9677884628267678,3.6944444444444446,False
4,2.75,1,6,"[0, 2, 0, 1, 0, 0, 1, 0]",0.9456603046006401,2,0.36363636363636365,0.6363636363636364,0.9456603046006401,3.5,False
10,4.6,1,7,"[0, 1, 1, 2, 1, 0, 2, 3]",0.9986359641585718,9,0.5217391304347826,0.4782608695652174,0.9986359641585718,4.266666666666667,False
7,4.428571428571429,2,7,"[0, 0, 2, 0, 2, 0, 2, 1]",0.9932338197397066,4,0.5483870967741935,0.45161290322580644,0.9932338197397066,4.190476190476191,False
6,4.333333333333333,1,7,"[0, 1, 0, 2, 0, 0, 2, 1]",0.9828586897127056,3,0.4230769230769231,0.5769230769230769,0.9828586897127056,4.533333333333333,False
8,3.75,1,6,"[0, 2, 0, 1, 2, 1, 2, 0]",0.9967916319816366,4,0.5333333333333333,0.4666666666666667,0.9967916319816366,3.7857142857142856,False
10,3.2,1,7,"[0, 2, 1, 4, 1, 1, 0, 1]",0.9971803988942642,8,0.46875,0.53125,0.9971803988942642,3.0444444444444443,False
9,4.333333333333333,2,7,"[0, 0, 1, 1, 3, 3, 0, 1]",0.9418285354475157,6,0.358974358974359,0.6410256410256411,0.9418285354475157,3.1944444444444446,False
10,4.6,1,7,"[0, 1, 0, 2, 1, 2, 3, 1]",0.978070970973496,8,0.41304347826086957,0.5869565217391305,0.978070970973496,3.888888888888889,False
8,4.125,2,7,"[0, 0, 2, 2, 0, 2, 1, 1]",0.9182958340544896,5,0.6666666666666666,0.3333333333333333,0.9182958340544896,3.5714285714285716,False
5,3.6,1,5,"[0, 1, 0, 1, 1, 2, 0, 0]",0.964078764808229,3,0.3888888888888889,0.6111111111111112,0.964078764808229,3.3,False
5,3.2,1,5,"[0, 1, 1, 1, 0, 2, 0, 0]",0.9886994082884974,3,0.5625,0.4375,0.9886994082884974,3.4,False
3,6.0,6,6,"[0, 0, 0, 0, 0, 0, 3, 0]",0.9182958340544896,0,0.3333333333333333,0.6666666666666666,0.9182958340544896,2.6666666666666665,True
5,2.8,1,5,"[0, 2, 0, 1, 1, 1, 0, 0]",1.0,3,0.5,0.5,1.0,2.9,False
7,3.857142857142857,2,6,"[0, 0, 2, 1, 2, 0, 2, 0]",0.9910760598382222,2,0.5555555555555556,0.4444444444444444,0.9910760598382222,3.380952380952381,True
6,3.6666666666666665,1,7,"[0, 2, 0, 1, 1, 0, 1, 1]",0.9760206482366149,4,0.5909090909090909,0.4090909090909091,0.9760206482366149,4.0,False
5,3.6,1,7,"[0, 2, 1, 0, 0, 0, 0, 2]",0.964078764808229,3,0.6111111111111112,0.3888888888888889,0.964078764808229,4.5,False
9,3.7777777777777777,2,5,"[0, 0, 3, 0, 2, 4, 0, 0]",0.9899927915575186,5,0.4411764705882353,0.5588235294117647,0.9899927915575186,3.111111111111111,False
8,4.125,2,6,"[0, 0, 1, 1, 3, 2, 1, 0]",0.9940302114769565,6,0.45454545454545453,0.5454545454545454,0.9940302114769565,3.2857142857142856,False
6,2.6666666666666665,1,5,"[0, 2, 1, 1, 1, 1, 0, 0]",0.8960382325345574,4,0.3125,0.6875,0.8960382325345574,2.533333333333333,False
9,4.888888888888889,2,7,"[0, 0, 1, 2, 0, 2, 2, 2]",0.9940302114769565,3,0.5454545454545454,0.45454545454545453,0.9940302114769565,4.194444444444445,False
3,5.0,4,6,"[0, 0, 0, 0, 1, 1, 1, 0]",0.9967916319816366,2,0.4666666666666667,0.5333333333333333,0.9967916319816366,2.6666666666666665,True
3,3.0,1,6,"[0, 1, 1, 0, 0, 0, 1, 0]",0.9910760598382222,2,0.5555555555555556,0.4444444444444444,0.9910760598382222,4.0,False
3,2.6666666666666665,1,6,"[0, 2, 0, 0, 0, 0, 1, 0]",0.954434002924965,1,0.375,0.625,0.954434002924965,4.0,False
8,3.875,1,7,"[0, 2, 1, 1, 0, 2, 0, 2]",0.9992492479956565,6,0.5161290322580645,0.4838709677419355,0.9992492479956565,4.285714285714286,False
5,2.8,1,6,"[0, 2, 0, 2, 0, 0, 1, 0]",0.9852281360342515,3,0.5714285714285714,0.42857142857142855,0.9852281360342515,3.4,False
5,3.6,1,6,"[0, 2, 0, 0, 0, 2, 1, 0]",0.9910760598382222,1,0.5555555555555556,0.4444444444444444,0.9910760598382222,3.6,True
2,6.5,6,7,"[0, 0, 0, 0, 0, 0, 1, 1]",0.9612366047228759,0,0.6153846153846154,0.38461538461538464,0.9612366047228759,2.0,True
8,3.125,1,5,"[0, 1, 2, 2, 1, 2, 0, 0]",0.9988455359952018,6,0.48,0.52,0.9988455359952018,3.0,False
2,2.5,1,4,"[0, 1, 0, 0, 1, 0, 0, 0]",0.9709505944546686,1,0.4,0.6,0.9709505944546686,3.0,True
1,7.0,7,7,"[0, 0, 0, 0, 0, 0, 0, 1]",0.5916727785823275,0,0.8571428571428571,0.14285714285714285,0.5916727785823275,0.0,True
6,4.166666666666667,2,7,"[0, 0, 1, 1, 2, 1, 0, 1]",0.9709505944546686,2,0.4,0.6,0.9709505944546686,3.7333333333333334,True
9,2.2222222222222223,1,5,"[0, 3, 3, 2, 0, 1, 0, 0]",0.9709505944546686,6,0.4,0.6,0.9709505944546686,2.2222222222222223,False
3,3.3333333333333335,2,5,"[0, 0, 1, 1, 0, 1, 0, 0]",0.9709505944546686,1,0.4,0.6,0.9709505944546686,3.6666666666666665,False
6,4.5,2,7,"[0, 0, 1, 0, 3, 0, 1, 1]",0.9751190649408661,3,0.4074074074074074,0.5925925925925926,0.9751190649408661,4.0,True
1,5.0,5,5,"[0, 0, 0, 0, 0, 1, 0, 0]",0.9709505944546686,0,0.6,0.4,0.9709505944546686,0.0,True
